month,intense,no_calima,possible,probable
1,2,36,3,4
2,2,30,3,6
3,0,36,7,0
4,0,40,3,0
5,0,44,1,0
6,0,38,4,0
7,0,42,2,1
8,0,40,3,1
9,0,39,3,1
10,1,40,3,1
11,0,39,3,0
12,2,34,6,3
