calima_proxy_level,count,mean,median,min,max,std
intense,30,4.233333333333333,3.5,1.0,9.0,2.1764148522732065
no_calima,350,4.042857142857143,4.0,0.0,10.0,1.936201005793102
possible,99,4.252525252525253,4.0,0.0,9.0,2.0817155128394993
probable,26,4.0,4.0,0.0,7.0,1.876166303929372
