calima_proxy_level,count,mean,median,std,min,max
no_calima,339,4.023598820058997,4.0,1.9805348699588359,0.0,10.0
possible,112,4.303571428571429,4.0,1.9305009652507241,0.0,9.0
probable,23,3.9565217391304346,4.0,2.0333192941047544,0.0,9.0
intense,30,4.2,3.5,2.0744754218505626,1.0,8.0
