calima_proxy_score,weeks,pct
0.0,294,56.214149
0.0625,48,9.17782
0.125,72,13.76673
0.1875,44,8.413002
0.25,9,1.720841
0.3125,15,2.868069
0.375,9,1.720841
0.4375,8,1.529637
0.5,7,1.338432
0.5625,7,1.338432
0.625,2,0.382409
0.6875,1,0.191205
0.75,5,0.956023
0.8125,1,0.191205
1.0,1,0.191205
