quarter,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,quarter_name
1,127,4.39,2.15,0.0,10.0,Q1
2,125,3.86,1.99,0.0,10.0,Q2
3,126,4.02,1.74,0.0,8.0,Q3
4,126,4.1,1.98,0.0,9.0,Q4
