month,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,month_name
1,44,4.39,2.2,0.0,9.0,Jan
2,41,4.59,2.3,1.0,9.0,Feb
3,42,4.21,1.98,1.0,10.0,Mar
4,42,3.52,2.02,0.0,8.0,Apr
5,43,3.81,1.93,1.0,10.0,May
6,40,4.25,2.0,1.0,9.0,Jun
7,44,4.05,1.64,1.0,8.0,Jul
8,43,4.26,1.84,0.0,8.0,Aug
9,39,3.72,1.73,0.0,8.0,Sep
10,42,4.21,1.91,0.0,8.0,Oct
11,41,3.61,2.11,0.0,9.0,Nov
12,43,4.47,1.88,1.0,8.0,Dec
