missing,missing_pct
503,0.9618
433,0.8279
198,0.3786
198,0.3786
129,0.2467
129,0.2467
129,0.2467
129,0.2467
129,0.2467
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
63,0.1205
57,0.109
56,0.1071
55,0.1052
53,0.1013
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
52,0.0994
18,0.0344
18,0.0344
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
