calima_proxy_score,calima_proxy_level,weeks
0.0,no_calima,294
0.0625,no_calima,48
0.125,no_calima,72
0.1875,no_calima,44
0.25,possible,9
0.3125,possible,15
0.375,possible,9
0.4375,possible,8
0.5,probable,7
0.5625,probable,7
0.625,probable,2
0.6875,probable,1
0.75,intense,5
0.8125,intense,1
1.0,intense,1
