quarter,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,quarter_name
1,129,10.53,3.49,2.0,20.0,Q1
2,130,9.66,3.38,3.0,17.0,Q2
3,132,9.23,3.32,3.0,19.0,Q3
4,131,10.24,3.39,3.0,22.0,Q4
