calima_proxy_level,count,mean,median,std,min,max
no_calima,315,9.873015873015873,10.0,3.454398393943358,2.0,22.0
possible,99,10.070707070707071,10.0,3.4912500692402273,3.0,20.0
probable,70,9.771428571428572,9.0,3.3456501223530277,4.0,18.0
intense,38,10.105263157894736,10.0,3.228165521093823,3.0,17.0
