calima_proxy_level,count,mean,median,min,max,std
no_calima,178,10.51123595505618,10.0,3.0,22.0,3.5925830124122133
possible,230,9.617391304347827,10.0,3.0,20.0,3.2213333882380653
probable,80,9.325,9.0,2.0,17.0,3.463279341529983
intense,34,10.176470588235293,10.5,3.0,17.0,3.4065052583059825
