calima_proxy_score,calima_proxy_level,weeks
0.0,no_calima,123
0.0625,no_calima,3
0.125,no_calima,176
0.1875,no_calima,13
0.25,possible,34
0.3125,possible,20
0.375,possible,33
0.4375,possible,12
0.5,probable,23
0.5625,probable,24
0.625,probable,5
0.6875,probable,18
0.75,intense,6
0.8125,intense,13
0.875,intense,3
0.9375,intense,12
1.0,intense,4
