month,intense,no_calima,possible,probable
1,6,15,19,5
2,9,12,14,6
3,2,14,16,11
4,1,17,12,13
5,0,10,25,10
6,0,19,15,8
7,0,11,26,8
8,1,13,28,2
9,0,18,23,2
10,4,22,18,1
11,1,21,17,3
12,10,15,15,5
