month,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,month_name
1,45,10.98,4.29,2.0,20.0,Jan
2,41,10.54,2.86,5.0,17.0,Feb
3,43,10.07,3.1,4.0,17.0,Mar
4,43,9.49,3.38,4.0,17.0,Apr
5,45,9.73,3.07,5.0,17.0,May
6,42,9.76,3.76,3.0,17.0,Jun
7,45,8.93,3.11,4.0,15.0,Jul
8,44,9.25,3.52,3.0,18.0,Aug
9,43,9.53,3.38,4.0,19.0,Sep
10,45,9.49,3.09,3.0,16.0,Oct
11,42,9.88,3.02,5.0,18.0,Nov
12,44,11.34,3.77,4.0,22.0,Dec
