calima_proxy_score,weeks,pct
0.0,138,26.386233
0.5,41,7.839388
1.0,183,34.99044
1.5,47,8.986616
2.0,55,10.516252
2.5,25,4.780115
3.0,8,1.529637
3.5,9,1.720841
4.0,8,1.529637
4.5,9,1.720841
