calima_proxy_level,deaths_mean,deaths_count,pm10_mean
no_calima,135.80594679186228,639,29.903488522816986
possible,136.82464454976304,211,48.861250644555355
probable,140.11111111111111,99,67.17172255382467
intense,153.1578947368421,95,182.0161266875303
