island,calima_proxy_level,deaths_mean,deaths_count
gran_canaria,no_calima,132.83802816901408,284
gran_canaria,possible,135.06201550387595,129
gran_canaria,probable,136.57142857142858,63
gran_canaria,intense,150.80434782608697,46
tenerife,no_calima,138.18028169014084,355
tenerife,possible,139.59756097560975,82
tenerife,probable,146.30555555555554,36
tenerife,intense,155.3673469387755,49
