,coef,HC3_SE,t,p_value,CI_low,CI_high
Intercept,0.9697,11.564,0.0839,0.9332,-21.6953,23.6348
C(month)[T.2],-3.5483,3.7874,-0.9369,0.3488,-10.9715,3.8749
C(month)[T.3],-3.505,3.2539,-1.0772,0.2814,-9.8824,2.8725
C(month)[T.4],-5.4728,3.8143,-1.4348,0.1513,-12.9488,2.0032
C(month)[T.5],-1.631,3.8462,-0.424,0.6715,-9.1695,5.9075
C(month)[T.6],-1.454,4.6326,-0.3139,0.7536,-10.5338,7.6258
C(month)[T.7],-0.7507,5.3979,-0.1391,0.8894,-11.3304,9.829
C(month)[T.8],-2.7117,5.6815,-0.4773,0.6332,-13.8473,8.4238
C(month)[T.9],1.6597,5.2631,0.3153,0.7525,-8.6558,11.9751
C(month)[T.10],-1.3643,4.6814,-0.2914,0.7707,-10.5397,7.8111
C(month)[T.11],0.8136,3.9224,0.2074,0.8357,-6.8741,8.5013
C(month)[T.12],2.2786,3.6429,0.6255,0.5316,-4.8614,9.4187
calima_score_provincial,7.4831,3.052,2.4519,0.0142,1.5013,13.465
temp_c_mean,-0.0552,0.6295,-0.0877,0.9302,-1.2891,1.1787
