,coef,HC3_SE,t,p_value,CI_low,CI_high
Intercept,-1.5713,11.7821,-0.1334,0.8939,-24.6639,21.5212
C(month)[T.2],-4.7137,3.0441,-1.5485,0.1215,-10.68,1.2526
C(month)[T.3],-5.1959,3.1824,-1.6327,0.1025,-11.4334,1.0416
C(month)[T.4],-4.5382,3.1786,-1.4277,0.1534,-10.7681,1.6918
C(month)[T.5],-3.4788,3.4644,-1.0042,0.3153,-10.2688,3.3112
C(month)[T.6],-3.3719,4.2442,-0.7945,0.4269,-11.6904,4.9466
C(month)[T.7],-4.6983,4.9192,-0.9551,0.3395,-14.3397,4.9431
C(month)[T.8],-1.3563,5.5285,-0.2453,0.8062,-12.1919,9.4793
C(month)[T.9],-4.6763,4.8908,-0.9562,0.339,-14.262,4.9094
C(month)[T.10],-2.9213,4.2415,-0.6887,0.491,-11.2346,5.392
C(month)[T.11],0.3288,3.9247,0.0838,0.9332,-7.3635,8.0211
C(month)[T.12],1.5262,3.0258,0.5044,0.614,-4.4043,7.4567
calima_score_provincial,2.4967,3.1542,0.7915,0.4286,-3.6854,8.6789
temp_c_mean,0.1723,0.6455,0.2669,0.7895,-1.0929,1.4375
