quarter,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,quarter_name
1,129,17.99,4.78,9.0,31.0,Q1
2,130,14.95,3.98,5.0,25.0,Q2
3,132,14.76,5.22,7.0,48.0,Q3
4,131,15.59,4.18,6.0,26.0,Q4
