calima_proxy_score,calima_proxy_level,weeks
0.0,no_calima,264
0.5,no_calima,65
1.0,possible,111
1.5,possible,36
2.0,probable,20
2.5,probable,7
3.0,intense,7
3.5,intense,3
4.0,intense,3
4.5,intense,7
