calima_proxy_score,weeks,pct
0.0,260,49.713193
0.0625,2,0.382409
0.125,92,17.590822
0.1875,25,4.780115
0.25,15,2.868069
0.3125,14,2.676864
0.375,14,2.676864
0.4375,28,5.353728
0.5,2,0.382409
0.5625,24,4.58891
0.625,3,0.573614
0.6875,21,4.015296
0.8125,9,1.720841
0.875,1,0.191205
0.9375,8,1.529637
1.0,5,0.956023
