calima_proxy_level,count,mean,median,std,min,max
no_calima,378,15.748677248677248,15.0,4.772579820137859,5.0,48.0
possible,71,16.08450704225352,16.0,4.248517317415367,9.0,28.0
probable,50,15.42,15.0,4.384992960690601,7.0,31.0
intense,23,16.869565217391305,15.0,6.114842953651883,7.0,31.0
