month,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,month_name
1,45,19.67,4.78,11.0,31.0,Jan
2,41,17.41,5.33,9.0,31.0,Feb
3,43,16.79,3.7,11.0,26.0,Mar
4,43,14.86,4.03,7.0,25.0,Apr
5,45,14.4,4.17,5.0,23.0,May
6,42,15.62,3.7,7.0,25.0,Jun
7,45,13.31,4.27,7.0,24.0,Jul
8,44,15.89,6.71,8.0,48.0,Aug
9,43,15.12,4.0,9.0,25.0,Sep
10,45,14.27,3.7,6.0,22.0,Oct
11,42,15.98,4.08,8.0,26.0,Nov
12,44,16.57,4.46,8.0,26.0,Dec
