month,intense,no_calima,possible,probable
1,5,21,16,3
2,6,22,9,4
3,1,21,18,3
4,1,21,19,2
5,0,34,11,0
6,0,40,2,0
7,0,36,7,2
8,0,34,8,2
9,0,28,12,3
10,1,28,12,4
11,0,23,18,1
12,6,21,15,3
