calima_proxy_level,count,mean,median,min,max,std
no_calima,378,15.748677248677248,15.0,5.0,48.0,4.772579820137859
possible,71,16.08450704225352,16.0,9.0,28.0,4.248517317415367
probable,50,15.42,15.0,7.0,31.0,4.384992960690601
intense,23,16.869565217391305,15.0,7.0,31.0,6.114842953651883
