calima_proxy_level,count,mean,median,min,max,std
intense,40,151.575,146.5,106.0,209.0,23.359934470403353
no_calima,126,140.8095238095238,141.0,103.0,185.0,17.784808927042995
possible,279,130.8100358422939,129.0,89.0,190.0,19.622052259914003
probable,78,134.89743589743588,131.0,91.0,209.0,21.565117181556857
