calima_proxy_level,count,mean,median,std,min,max
no_calima,284,132.83802816901408,132.0,18.78204440038043,90.0,190.0
possible,129,135.06201550387595,134.0,20.283056328645525,89.0,186.0
probable,63,136.57142857142858,135.0,22.3885874482127,91.0,186.0
intense,46,150.80434782608697,144.5,24.612209765992503,106.0,209.0
