Finding,Value
Strongest lag (highest |r|),lag0 (same week) (r=0.210)
ANOVA F-statistic,10.55
ANOVA p-value,9.61e-07
Effect size (η²),0.0576 (small)
Δ deaths (intense vs no_calima),+17.97 deaths/week
Δ deaths (intense vs possible),+15.74 deaths/week
Sample size - intense weeks,46 weeks
