calima_proxy_score,weeks,pct
0.0,91,17.43295
0.5,23,4.40613
1.0,227,43.48659
1.5,61,11.685824
2.0,58,11.111111
2.5,22,4.214559
3.0,12,2.298851
3.5,9,1.724138
4.0,4,0.766284
4.5,15,2.873563
