quarter,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,quarter_name
1,129,151.73,20.41,110.0,209.0,Q1
2,130,128.52,13.95,94.0,163.0,Q2
3,132,126.42,17.46,89.0,170.0,Q3
4,131,135.27,20.42,90.0,209.0,Q4
