month,intense,no_calima,possible,probable
1,7,26,7,5
2,10,21,2,8
3,3,30,6,4
4,3,32,4,4
5,0,35,8,2
6,0,35,5,2
7,2,26,11,6
8,3,26,8,7
9,1,27,10,5
10,4,29,10,2
11,3,31,3,5
12,5,24,12,4
