Finding,Value
Strongest lag (highest |r|),lag0 (same week) (r=0.120)
ANOVA F-statistic,2.73
ANOVA p-value,4.31e-02
Effect size (η²),0.0156 (small)
Δ deaths (intense vs no_calima),+2.16 deaths/week
Δ deaths (intense vs possible),+2.14 deaths/week
Sample size - intense weeks,41 weeks
