calima_proxy_score,calima_proxy_level,weeks
0.0,no_calima,205
0.5,no_calima,44
1.0,possible,142
1.5,possible,39
2.0,probable,39
2.5,probable,17
3.0,intense,12
3.5,intense,8
4.0,intense,7
4.5,intense,10
