month,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,month_name
1,45,18.33,5.43,9.0,31.0,Jan
2,41,18.61,4.54,10.0,30.0,Feb
3,43,17.6,4.42,9.0,27.0,Mar
4,43,14.98,4.76,6.0,25.0,Apr
5,45,14.84,3.62,4.0,22.0,May
6,42,14.45,4.53,7.0,26.0,Jun
7,45,14.33,4.11,7.0,22.0,Jul
8,44,15.25,4.47,7.0,28.0,Aug
9,43,14.63,4.01,6.0,23.0,Sep
10,45,14.71,4.69,5.0,31.0,Oct
11,42,15.55,3.89,7.0,25.0,Nov
12,44,17.95,4.72,7.0,30.0,Dec
