calima_proxy_level,count,mean,median,std,min,max
no_calima,341,15.765395894428153,15.0,4.704575892479652,4.0,31.0
possible,86,15.790697674418604,15.0,4.3253460359898765,6.0,30.0
probable,54,15.648148148148149,15.0,4.518963846036938,7.0,28.0
intense,41,17.926829268292682,18.0,5.212438219789464,5.0,31.0
