island,R2_M1,R2_M3,AdjR2_M1,AdjR2_M3,AIC_M1,AIC_M3,BIC_M1,BIC_M3,DW_M1,DW_M3
tenerife,0.2917,0.4642,0.2848,0.458,4553.93,4402.61,4579.47,4432.4,1.0274,2.3035
gran_canaria,0.2576,0.4855,0.2504,0.4795,4501.41,4304.58,4526.96,4334.37,0.93,2.355
