Finding,Value
Strongest lag (highest |r|),lag0 (same week) (r=0.221)
ANOVA F-statistic,9.87
ANOVA p-value,2.44e-06
Effect size (η²),0.0541 (small)
Δ deaths (intense vs no_calima),+17.19 deaths/week
Δ deaths (intense vs possible),+15.77 deaths/week
Sample size - intense weeks,49 weeks
