month,intense,no_calima,possible,probable
1,7,20,17,1
2,10,16,12,3
3,3,24,12,4
4,2,29,10,2
5,0,31,12,2
6,0,30,10,2
7,1,27,13,4
8,2,23,14,5
9,1,33,9,0
10,3,36,3,3
11,2,27,13,0
12,9,14,16,5
