quarter,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,quarter_name
1,129,159.49,21.04,113.0,208.0,Q1
2,130,133.02,16.97,96.0,183.0,Q2
3,132,130.36,19.34,92.0,214.0,Q3
4,131,139.74,19.42,102.0,198.0,Q4
