calima_proxy_level,count,mean,median,std,min,max
no_calima,310,138.8516129032258,138.0,21.531881547056365,92.0,200.0
possible,141,139.4255319148936,138.0,21.673299584825962,100.0,198.0
probable,31,141.38709677419354,140.0,24.786659610033297,103.0,214.0
intense,40,157.375,157.0,22.30865935127617,114.0,208.0
