calima_proxy_score,calima_proxy_level,weeks
0.0,no_calima,214
0.0625,no_calima,54
0.125,no_calima,64
0.1875,no_calima,23
0.25,possible,34
0.3125,possible,18
0.375,possible,14
0.4375,possible,16
0.5,probable,8
0.5625,probable,11
0.625,probable,10
0.6875,probable,7
0.75,intense,4
0.8125,intense,7
0.875,intense,17
0.9375,intense,4
1.0,intense,17
