calima_proxy_score,weeks,pct
0.0,214,40.996169
0.0625,54,10.344828
0.125,64,12.260536
0.1875,23,4.40613
0.25,34,6.51341
0.3125,18,3.448276
0.375,14,2.681992
0.4375,16,3.065134
0.5,8,1.532567
0.5625,11,2.10728
0.625,10,1.915709
0.6875,7,1.340996
0.75,4,0.766284
0.8125,7,1.340996
0.875,17,3.256705
0.9375,4,0.766284
1.0,17,3.256705
