count,mean,median,min,max,std
40,157.375,157.0,114.0,208.0,22.30865935127617
310,138.6516129032258,138.0,92.0,200.0,21.33295718167183
138,139.42753623188406,138.5,100.0,191.0,21.54163772625783
35,142.62857142857143,140.0,103.0,214.0,26.031751782012986
