month,n_weeks,mean_deaths,std_deaths,min_deaths,max_deaths,month_name
1,45,168.58,21.65,117.0,208.0,Jan
2,41,158.71,19.4,113.0,200.0,Feb
3,43,150.72,18.2,113.0,197.0,Mar
4,43,139.28,16.44,107.0,183.0,Apr
5,45,129.84,15.93,96.0,163.0,May
6,42,130.02,17.19,100.0,177.0,Jun
7,45,130.47,22.84,95.0,214.0,Jul
8,44,131.89,18.35,100.0,171.0,Aug
9,43,128.7,16.46,92.0,166.0,Sep
10,45,132.07,17.06,102.0,173.0,Oct
11,42,135.5,15.09,104.0,174.0,Nov
12,44,151.64,20.05,119.0,198.0,Dec
