date,year,PM10,PM2.5,SO2,NO2,O3,station
2025-01-01,2025,33.41336059570312,9.669651985168457,,,,gomera
2025-01-02,2025,13.34155178070068,6.792817115783691,,,,gomera
2025-01-03,2025,108.0171585083008,17.18877220153809,,,,gomera
2025-01-04,2025,275.5675659179688,45.62771224975586,,,,gomera
2025-01-05,2025,302.9048156738281,58.70886993408203,,,,gomera
2025-01-06,2025,23.4018383026123,10.1753454208374,,,,gomera
2025-01-07,2025,52.25621795654297,20.16671562194824,,,,gomera
2025-01-08,2025,11.61861324310303,6.526764869689941,,,,gomera
2025-01-09,2025,13.86784362792969,6.625431060791016,,,,gomera
2025-01-10,2025,71.10196685791016,14.32213592529297,,,,gomera
2025-01-11,2025,29.07651329040527,8.64322280883789,,,,gomera
2025-01-12,2025,25.2832202911377,8.122743606567383,,,,gomera
2025-01-13,2025,11.45285129547119,7.237787246704102,,,,gomera
2025-01-14,2025,12.56026744842529,8.230557441711426,,,,gomera
2025-01-15,2025,96.89376068115234,17.78027725219727,,,,gomera
2025-01-16,2025,225.9835662841797,44.30726623535156,,,,gomera
2025-01-17,2025,177.6766052246094,32.18769073486328,,,,gomera
2025-01-18,2025,10.83106231689453,7.237442493438721,,,,gomera
2025-01-19,2025,26.81338882446289,8.210854530334473,,,,gomera
2025-01-20,2025,34.04278945922852,10.6131534576416,,,,gomera
2025-01-21,2025,15.37550163269043,8.351143836975098,,,,gomera
2025-01-22,2025,12.44820022583008,7.381341934204102,,,,gomera
2025-01-23,2025,10.75191879272461,6.586404323577881,,,,gomera
2025-01-24,2025,9.62392807006836,5.932527542114258,,,,gomera
2025-01-25,2025,10.14725685119629,6.534342765808105,,,,gomera
2025-01-26,2025,7.690534591674805,4.989512920379639,,,,gomera
2025-01-27,2025,5.241602897644043,3.424245595932007,,,,gomera
2025-01-28,2025,8.845244407653809,6.10328483581543,,,,gomera
2025-01-29,2025,12.97440338134766,8.751445770263672,,,,gomera
2025-01-30,2025,13.87003612518311,9.031158447265625,,,,gomera
2025-01-31,2025,13.86367321014404,8.971145629882812,,,,gomera
2025-02-01,2025,10.87685680389404,6.828361988067627,,,,gomera
2025-02-02,2025,7.942656517028809,5.033854007720947,,,,gomera
2025-02-03,2025,7.336453437805176,4.766590595245361,,,,gomera
2025-02-04,2025,11.99248027801514,7.595605850219727,,,,gomera
2025-02-05,2025,13.49895858764648,7.628123760223389,,,,gomera
2025-02-06,2025,20.7922534942627,7.890786647796631,,,,gomera
2025-02-07,2025,36.85189056396484,9.773518562316895,,,,gomera
